feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
k__Fungi..p__Basidiomycota..c__Agaricomycetes..o__Thelephorales..f__Thelephoraceae..g__Tomentella..	Site	SJ	0.358255060758534	0.363147645619405	74	8	0.327178126749004	0.349485726300073
k__Fungi..p__Ascomycota..c__Leotiomycetes........	Site	SJ	0.294923464961813	0.308482315776443	74	15	0.342247803710038	0.362834137767785
k__Fungi..p__Basidiomycota..c__Geminibasidiomycetes..o__Geminibasidiales..f__Geminibasidiaceae..g__Geminibasidium..s__Geminibasidium_sp.1	Site	SJ	0.289847027548773	0.358891065107714	74	9	0.421970452582526	0.44322779595467
k__Fungi..p__Ascomycota..c__Eurotiomycetes..o__Chaetothyriales..f__Herpotrichiellaceae..g__Cladophialophora..s__Cladophialophora_sylvestris.1	Site	SJ	0.244290921713939	0.304057556078899	74	9	0.424367038680003	0.44322779595467
k__Fungi..p__Basidiomycota..c__Agaricomycetes..o__Atheliales..f__Pilodermataceae..g__Piloderma..s__Piloderma_sp	Site	SJ	-0.339295926984342	0.456736334938284	74	8	0.459977094608647	0.476888017204553
k__Fungi..p__Basidiomycota..c__Agaricomycetes..o__Atheliales..f__Atheliaceae..g__Athelia..s__Athelia_arachnoidea.1	Site	SJ	0.148689882363511	0.417977513278882	74	13	0.723078022143848	0.744189789213741
k__Fungi..p__Ascomycota..c__Pezizomycetes..o__Pezizales..f__Pyronemataceae..g__Geopora..s__Geopora_tolucana	Site	SJ	-0.128243481668275	0.517433118256734	74	11	0.804959400321803	0.822458517720103
k__Fungi..p__Ascomycota..c__Eurotiomycetes..o__Chaetothyriales..f__Herpotrichiellaceae....	Site	SJ	0.0729711610645136	0.435878727414221	74	10	0.867515507942185	0.873712047284629
k__Fungi..p__Basidiomycota..c__Agaricomycetes..o__Cantharellales..f__Hydnaceae..g__Bergerella..s__Bergerella_atrofusca.3	Site	SJ	0.053985448170298	0.309273929798018	74	9	0.861918870971066	0.873712047284629
k__Fungi..p__Ascomycota..c__Leotiomycetes..o__Helotiales......	Site	SJ	0.0740405167574511	0.528613516171019	74	20	0.888999329977002	0.888999329977002
