OTU	Kingdom	Phylum	Order	Class	Family	Genus	Species	taxon	guild
d099ae4bcf961e7de15c8665fd72657b	Fungi	Ascomycota	Leotiomycetes	Helotiales				na	na
d988304dcd29018f8ec90f86f1df6abf	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Hypocreales_fam_Incertae_sedis	Sesquicillium	Sesquicillium_sp	Sesquicillium	Undefined
38b32ce16b778cbaac2ab8feff116bf8	Fungi	Ascomycota	Dothideomycetes	Mytilinidales	Gloniaceae	Glonium	Glonium_stellatum	Glonium	Undefined
997a8194a421d81016c3e97c2834393f	Fungi	Ascomycota	Dothideomycetes	Mytilinidales	Gloniaceae	Cenococcum	Cenococcum_geophilum	Cenococcum	Ectomycorrhizal
e4792e13530b442c4ba28613cfc45cd1	Fungi	Ascomycota	Leotiomycetes	Helotiales				na	na
355c68331d682bbd7065df062a891b74	Fungi							na	na
9462fcf1fec49a62fd8a7c057fd0093d	Fungi	Ascomycota	Leotiomycetes	Helotiales	Hyaloscyphaceae	Hyaloscypha	Hyaloscypha_finlandica	Hyaloscypha	Undefined
e6b56aa1168b3e88300b4af1df6dd8f7	Fungi							na	na
a0b4b50a140bce4a36db2c651f1680f6	Fungi	Ascomycota	Leotiomycetes					na	na
268266124e7c39a1efdb271bf710e50d	Fungi							na	na
3f4fa49704fb04febb133e8747e90689	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Hygrophoraceae	Hygrophorus		Hygrophorus	Ectomycorrhizal
e7b4ca321a7907600287e8ea272c88f5	Fungi	Ascomycota	Leotiomycetes					na	na
4386ead38f221579055616821aefd64e	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Lipomycetaceae	Babjevia	Babjevia_anomala	Saccharomycetales	Undefined
9ff7fc6409eefacde718a57fcd0188c1	Fungi	Ascomycota	Leotiomycetes	Helotiales				na	na
453f3c1d5eb574e1db6548252e6a3c68	Fungi	Ascomycota	Leotiomycetes					na	na
888107a9ad33e337628785394aa940b7	Fungi	Ascomycota	Leotiomycetes	Helotiales				na	na
a267ed12c573308ef966fec28f4410d8	Fungi	Ascomycota	Pezizomycetes	Pezizales	Pyronemataceae	Pustularia	Pustularia_sp	Pustularia	Ectomycorrhizal
93d9638e8421166cadd82e347148e086	Fungi	Ascomycota	Leotiomycetes					na	na
ff4eee5d954c5ea4be58b5df0b66a911	Fungi	Ascomycota	Leotiomycetes	Helotiales	Hyaloscyphaceae	Hyaloscypha	Hyaloscypha_finlandica	Hyaloscypha	Undefined
4617d76091af9432ecc37e93d38b38c0	Fungi							na	na
789751dc8847b7e6429e231873e11126	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Helotium	Helotium_sp	Helotiaceae	na
2fa21cb1ac2db2227ba9aa7590d27379	Fungi	Ascomycota	Leotiomycetes					na	na
55dc579ca80bec93fdd724778163116a	Fungi	Ascomycota	Leotiomycetes	Helotiales				na	na
104526aeb705fd035cacbf3f8aba7732	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Leptosphaeriaceae	Paraleptosphaeria	Paraleptosphaeria_nitschkei	Paraleptosphaeria	na
07ff660330a4bb716e09ad5840cd3a96	Fungi	Ascomycota	Leotiomycetes	Helotiales				na	na
584e9a159b8d037792fba0f17702718e	Fungi	Ascomycota	Leotiomycetes					na	na
f6c1d1cdc54ed0a21fbdbecfab4852ed	Fungi	Ascomycota	Dothideomycetes	Mycosphaerellales	Teratosphaeriaceae	Meristemomyces	Meristemomyces_arctostaphyli	Meristemomyces	na
a3cc32ebd895eaa89f5b81206a4d0b17	Fungi	Ascomycota	Dothideomycetes					na	na
d679dde7678580b9ac0f883681d945d7	Fungi	Basidiomycota	Agaricomycetes	Cantharellales	Hydnaceae	Sistotrema	Sistotrema_autumnale	Sistotrema	na
9235ee1653635996e6eb80766f25d311	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Clavariaceae			Clavariaceae	Undefined
dd55a3c55f5a7863236e19e16ba0e353	Fungi	Ascomycota	Lecanoromycetes	Agyriales	unidentified	unidentified	Agyriales_sp	na	na
00ef575190c37718e93dca664ab4411f	Fungi							na	na
432d45389fd4565f82a9f97f3cbedaa3	Fungi	Ascomycota	Leotiomycetes	Helotiales				na	na
01ad06893fca0f38dfd2ca9935f12141	Fungi	Basidiomycota	Agaricomycetes	Polyporales	Steccherinaceae	Fibricium	Fibricium_sp	Fibricium	Undefined
bf752b19e27c9e9db25f51ce94ec71ee	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Lycoperdaceae	Lycoperdon		Lycoperdon	Undefined
292ee1d3786d47c152709b036288cd33	Fungi	Basidiomycota	Tremellomycetes	Filobasidiales	Piskurozymaceae	Solicoccozyma	Solicoccozyma_aeria	Solicoccozyma	Undefined
06717f9e88f51983105c21e211efe214	Fungi	Ascomycota	Leotiomycetes	Helotiales	Hyaloscyphaceae	Hyaloscypha	Hyaloscypha_finlandica	Hyaloscypha	Undefined
b34f7e2878e3da905b72b8143b380c73	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Infundichalara	Infundichalara_microchona	Infundichalara	Undefined
04ba10439add7fc1b409705b840a3f6c	Fungi	Ascomycota	Leotiomycetes	Helotiales				na	na
26448ae5f456cd0bc06b1a6f45589c0f	Fungi	Basidiomycota	Tremellomycetes	Filobasidiales	Piskurozymaceae	Solicoccozyma	Solicoccozyma_terricola	Solicoccozyma	Undefined
4f72efac03d83a9c74a3a7b14274bbcd	Fungi	Ascomycota	Leotiomycetes	Helotiales	Hamatocanthoscyphaceae	Curviclavula	Curviclavula_sp	Curviclavula	Undefined
a037e098a4a657d46f5f69af1d921d2a	Fungi	Ascomycota						na	na
1fa1173986106b3a1e0dd21ff1ecaf6d	Fungi	Mortierellomycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Linnemannia		Mortierellaceae	Undefined
0404eccc892dbe875065d9498d0699e5	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales				na	na
1945af8341f2ed711e568420472175f2	Fungi	Ascomycota	Dothideomycetes	Venturiales	Venturiaceae	Sympodiella	Sympodiella_alternata	Sympodiella	Undefined
c2a32d06c2348b0c57576a57cefa86f4	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Cladosporiaceae	Cladosporium	Cladosporium_basi-inflatum	Cladosporium	na
dada53df3d87a76c1137874a0c335722	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium		Fusarium	Undefined
4df633f2809ec9782dacd512a36d9a6f	Fungi	Ascomycota	Leotiomycetes	Helotiales	unidentified	unidentified	Helotiales_sp	na	na
6d2f815e729c15925348736b866317fa	Fungi	Ascomycota	Leotiomycetes					na	na
b813fc2ccd6c23d2afe48a44e9b15798	Fungi	Ascomycota	Leotiomycetes	Helotiales				na	na
3f7c87f4d78f595f19171615ad91554d	Fungi							na	na
18d5514967d1e70f9f7a9878e91c9fc9	Fungi	Ascomycota	Leotiomycetes	Helotiales	Mollisiaceae	Phialocephala	Phialocephala_virens	Phialocephala	Undefined
ecb23093c4346250656491bfa8c52fc2	Fungi							na	na
