OTUID	taxonomy
1b7e6dbf7c55bb6e9c7f9eaadd8e3f15	k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Agaricales; f__Inocybaceae; g__Inocybe; s__Inocybe_monticola
2cbeeeea6b3ad6b5a760a3aa4114c786	k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Agaricales; f__Inocybaceae; g__Inosperma; s__Inosperma_acutofulvum
5a60b4955b146af932ce108bd80c63d7	k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Agaricales; f__Tricholomataceae; g__Tricholoma; s__Tricholoma_triste
2e162e4e342d2e194386151351ed8a42	k__Fungi; p__Basidiomycota; c__Geminibasidiomycetes; o__Geminibasidiales; f__Geminibasidiaceae; g__Geminibasidium; s__Geminibasidium_sp
51e27fc4e3a352ab6f42477c79e1a79c	k__Fungi; p__Ascomycota; c__Pezizomycetes; o__Pezizales; f__Pyronemataceae; g__Wilcoxina; s__Wilcoxina_rehmii
54d96f1d17d454af445451165c788ae8	k__Fungi; p__Ascomycota; c__Leotiomycetes; o__Helotiales; ; 
905478934787019f70979d45e93f7853	k__Fungi; p__Mortierellomycota; c__Mortierellomycetes; o__Mortierellales; f__Mortierellaceae; g__Mortierella
d19bc8e73e2c3aeef77aa0d04105434a	k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Agaricales; f__Hygrophoraceae; g__Hygrophorus; s__Hygrophorus_purpurascens
c063c69b991ee399370792531dff9d01	k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Agaricales; f__Inocybaceae; g__Inocybe; s__Inocybe_pseudoteraturgus
504a89d8b914f3e29029e9b86a0cca08	k__Fungi; p__Ascomycota; c__Leotiomycetes; o__Helotiales; f__Helotiaceae; g__Meliniomyces; s__Meliniomyces_sp
22095a7561e4da713c016cbb5b151adc	k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Agaricales; f__Tricholomataceae; g__Leucopaxillus; s__Leucopaxillus_laterarius
6b70ca280152bb090020e5a8b381feab	k__Fungi; p__Ascomycota; c__Dothideomycetes; o__Mytilinidiales; f__Mytilinidiaceae; g__Mytilinidion; s__Mytilinidion_sp
5ed0c68c8afcc52cd48ee9f014d88942	k__Fungi; ; ; ; ; 
e02bb985a110fd7a115effa08cfb39a7	k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Agaricales; f__Inocybaceae; g__Inocybe; s__Inocybe_sp
ea02a048e6c308167a4dc635e93b7211	k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Thelephorales; f__Thelephoraceae; g__Polyozellus; s__Polyozellus_tristoides
0b932cc1da67c723f23d2cb570d7a26f	k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Agaricales; f__Amanitaceae; g__Amanita; s__Amanita_pantherinoides
086cbbb7904e6a5603936eb176803267	k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Agaricales; f__Lyophyllaceae; g__Tephrocybe; s__Tephrocybe_sp
e89b061dd217d787eac85deef45cc691	k__Fungi; p__Basidiomycota; c__Geminibasidiomycetes; o__Geminibasidiales; f__Geminibasidiaceae; g__Geminibasidium; s__Geminibasidium_sp
4dd0b40f9e8bcc58ebafa66a28252c5d	k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Agaricales; f__Inocybaceae; g__Inocybe; s__Inocybe_rufoalba
4333a694a94b24cff7672a1db3c86fb4	k__Fungi; p__Mortierellomycota; c__Mortierellomycetes; o__Mortierellales; f__Mortierellaceae; g__Mortierella; s__Mortierella_rishikesha
4f85f7116a2958b3483ed419c13071c3	k__Fungi; p__Ascomycota; c__Pezizomycetes; o__Pezizales; f__Pyronemataceae; g__Wilcoxina; s__Wilcoxina_sp
f12c24edddba11f329d48870fea9198d	k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Russulales; f__Russulaceae; g__Russula; s__Russula_aurantiocutis
17c37d2c4d21a0f3397abe8c01af3e84	k__Fungi; p__Mortierellomycota; c__Mortierellomycetes; o__Mortierellales; f__Mortierellaceae; g__Mortierella
6a1bf4838367ddf977ff6923cbd05653	k__Fungi; p__Basidiomycota; ; ; ; 
c2b88816e03580a4a95bfaafb9e1fa5c	k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Agaricales; f__Inocybaceae; g__Inocybe; s__Inocybe_rufoalba
fb28fdca471db36c3212246c934e4719	k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Agaricales; f__Hygrophoraceae; g__Hygrophorus; s__Hygrophorus_purpurascens
741566f993a379ff1b0d91286936e430	k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Atheliales; f__Pilodermataceae; g__Piloderma; s__Piloderma_lanatum
